Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-09-14,5658.902551,3865.640142,6430.523996,7925.080569,8404.812656,7655.123335,6889.547778,7387.116442,5221.742184,7157.322171,3905.570398,7609.605158,4330.102472,2.717202488
2017-09-15,5380.078986,3659.458712,6424.060543,7928.272638,8777.575474,7516.207851,6554.949512,7569.585078,5416.296894,7191.170295,3811.188382,7723.417492,4327.001433,2.695190624
2017-09-16,5273.298946,3580.496042,6270.010037,7934.761847,8542.823948,7088.568744,6258.751372,7477.991057,5488.792408,7237.043921,3593.645408,7730.270817,4304.026048,2.66236031
2017-09-17,5223.57924,3545.217673,6133.759737,7935.270162,8217.311989,6822.687397,6109.874766,7400.366422,5506.11524,7232.23658,3452.747559,7784.107009,4267.982346,2.712257237
2017-09-18,5340.793303,3634.025909,6151.986308,7932.658306,8343.74625,7178.203268,6307.647445,7405.202712,5505.077809,7168.684925,3805.062152,7897.283984,4271.383601,2.747999713
2017-09-19,5952.170454,4089.39044,6050.021385,7820.702042,8693.997722,7360.876346,6414.975373,7149.82774,5505.68687,7115.874473,4136.932365,7978.508399,4254.787359,2.753258465
2017-09-20,6493.059922,4517.669934,5451.96995,7281.04056,8642.453164,6959.415369,6122.475796,6547.088547,5514.539651,7087.536529,3898.259087,7909.188968,4207.603117,2.700856575
2017-09-21,6933.822014,4990.473299,5207.585164,7334.840522,7345.072147,5869.86872,5082.65182,5722.189522,5574.006151,7027.953942,3068.392299,6940.255727,4190.715096,2.730217357
2017-09-22,7066.499453,5035.298829,5596.468352,7884.634326,6744.456703,5330.992786,4549.214226,5480.653299,5671.274595,6813.563271,2629.379488,6430.977172,4199.64985,2.699525189
2017-09-23,6756.047509,4620.514224,5724.065309,7930.788765,7377.658961,5720.669965,4910.779717,5805.238556,5741.703284,6467.429763,2840.77927,6943.934334,4211.221069,2.700044396
2017-09-24,6018.754515,4036.419651,5721.950878,7904.987195,8403.480608,6420.669229,5558.91932,5985.369761,5673.619711,6462.150707,3280.248234,7644.493218,4224.657003,2.709578855
2017-09-25,6298.436362,4026.318619,5819.032173,7829.882539,9532.817992,7280.72216,6245.887298,6351.698891,5530.389066,6724.126833,3091.518601,5690.386172,3333.630243,2.626348573
2017-09-26,7024.067964,4431.985178,6262.996296,7979.826352,10719.89656,8147.840539,6620.601102,7384.072716,5518.676362,6993.537466,1266.719217,1580.439939,1220.493381,2.693095636
2017-09-27,7194.488953,4823.294697,6109.297363,7377.200854,12209.55254,8780.643258,7093.98015,8783.236893,5568.034135,7148.336982,1686.474018,0.052607374,839.9487375,2.707623876
